capacity,soc,current,half_voltage,final_voltage
1100,100,49.36,1.98,3.96
1099.83,99.98,49.3,1.98,3.96
1099.66,99.97,48.97,1.98,3.96
1099.49,99.95,48.38,1.98,3.96
1099.32,99.94,48.06,1.98,3.96
1099.15,99.92,47.8,1.98,3.96
1098.98,99.91,47.45,1.98,3.96
1098.81,99.89,46.9,1.98,3.96
1098.63,99.88,49,1.98,3.96
1098.46,99.86,50.12,1.98,3.96
1098.29,99.84,50.12,1.98,3.96
1098.12,99.83,50.12,1.98,3.96
1097.95,99.81,50.09,1.98,3.96
1097.78,99.8,50.05,1.98,3.96
1097.61,99.78,50.04,1.98,3.96
1097.44,99.77,49.99,1.98,3.96
1097.27,99.75,49.96,1.98,3.96
1097.1,99.74,49.93,1.98,3.96
1096.93,99.72,49.91,1.98,3.96
1096.76,99.71,49.9,1.98,3.96
1096.59,99.69,49.88,1.98,3.96
1096.42,99.67,49.88,1.97,3.94
1096.25,99.66,49.91,1.97,3.94
1096.07,99.64,49.93,1.97,3.94
1095.9,99.63,49.95,1.97,3.94
1095.73,99.61,49.93,1.97,3.94
1095.56,99.6,49.9,1.97,3.94
1095.39,99.58,49.89,1.97,3.94
1095.22,99.57,49.85,1.97,3.94
1095.05,99.55,49.84,1.97,3.94
1094.88,99.53,49.81,1.97,3.94
1094.71,99.52,49.8,1.97,3.94
1094.54,99.5,49.77,1.97,3.94
1094.37,99.49,49.75,1.97,3.94
1094.2,99.47,49.73,1.97,3.94
1094.03,99.46,49.69,1.97,3.94
1093.86,99.44,49.68,1.97,3.94
1093.69,99.43,49.62,1.97,3.94
1093.52,99.41,49.52,1.97,3.94
1093.34,99.39,49.44,1.97,3.94
1093.17,99.38,49.29,1.97,3.94
1093,99.36,47.08,1.97,3.94
1092.83,99.35,45.42,1.97,3.94
1092.66,99.33,45.25,1.97,3.94
1092.49,99.32,45.06,1.97,3.94
1092.32,99.3,44.95,1.97,3.94
1092.15,99.29,45.06,1.97,3.94
1091.98,99.27,45.1,1.97,3.94
1091.81,99.26,45.21,1.97,3.94
1091.64,99.24,45.25,1.97,3.94
1091.47,99.22,45.21,1.97,3.94
1091.3,99.21,45.17,1.97,3.94
1091.13,99.19,45.09,1.97,3.94
1090.96,99.18,45,1.97,3.94
1090.78,99.16,44.95,1.97,3.94
1090.61,99.15,44.85,1.97,3.94
1090.44,99.13,44.84,1.97,3.94
1090.27,99.12,44.85,1.97,3.94
1090.1,99.1,44.81,1.97,3.94
1089.93,99.08,44.78,1.97,3.94
1089.76,99.07,44.78,1.97,3.94
1089.59,99.05,44.78,1.97,3.94
1089.42,99.04,44.78,1.97,3.94
1089.25,99.02,44.82,1.97,3.94
1089.08,99.01,44.83,1.97,3.94
1088.91,98.99,44.94,1.97,3.94
1088.74,98.98,44.85,1.97,3.94
1088.57,98.96,44.85,1.97,3.94
1088.4,98.94,44.79,1.97,3.94
1088.22,98.93,44.82,1.97,3.94
1088.05,98.91,44.71,1.97,3.94
