capacity,soc,current,half_voltage,final_voltage
1000,100,84,2.03,4.06
999.83,99.98,84.5,2.03,4.06
999.66,99.97,84.77,2.03,4.06
999.49,99.95,84.08,2.03,4.06
999.32,99.93,84.25,2.02,4.04
999.15,99.91,84.17,2.02,4.04
998.98,99.9,83.89,2.02,4.04
998.81,99.88,84.33,2.02,4.04
998.63,99.86,84.89,2.02,4.04
998.46,99.85,85.14,2.02,4.04
998.29,99.83,85.5,2.01,4.02
998.12,99.81,85.78,2.01,4.02
997.95,99.8,86.04,2.01,4.02
997.78,99.78,85.84,2.01,4.02
997.61,99.76,85.75,2.02,4.04
997.44,99.74,85.92,2.02,4.04
997.27,99.73,85.94,2.02,4.04
997.1,99.71,85.84,2.02,4.04
996.93,99.69,85.77,2.02,4.04
996.76,99.68,85.84,2.02,4.04
996.59,99.66,85.96,2.02,4.04
996.42,99.64,86.13,2.02,4.04
996.25,99.62,86.24,2.02,4.04
996.07,99.61,86.25,2.02,4.04
995.9,99.59,86.26,2.02,4.04
995.73,99.57,86.3,2.02,4.04
995.56,99.56,86.62,2.01,4.02
995.39,99.54,86.88,2.01,4.02
995.22,99.52,86.95,2.01,4.02
995.05,99.51,86.91,2,4
994.88,99.49,86.81,2.01,4.02
994.71,99.47,86.75,2.01,4.02
994.54,99.45,86.66,2.01,4.02
994.37,99.44,86.62,2.01,4.02
994.2,99.42,86.58,2.01,4.02
994.03,99.4,86.7,2.01,4.02
993.86,99.39,86.84,2.01,4.02
993.69,99.37,86.91,2.01,4.02
993.52,99.35,87.04,2.01,4.02
993.34,99.33,87.03,2.01,4.02
993.17,99.32,87.17,2,4
993,99.3,87.59,2.01,4.02
992.83,99.28,87.84,2,4
992.66,99.27,87.66,2,4
992.49,99.25,87.61,2,4
992.32,99.23,87.73,2,4
992.15,99.21,87.74,2,4
991.98,99.2,87.73,2,4
991.81,99.18,87.83,2,4
991.64,99.16,87.91,2,4
991.47,99.15,87.95,2,4
991.3,99.13,88.01,2,4
991.13,99.11,88.04,2,4
990.96,99.1,88.07,2,4
990.78,99.08,88.06,2,4
990.61,99.06,88.02,2,4
990.44,99.04,88.04,2,4
990.27,99.03,87.9,2,4
990.1,99.01,87.83,2,4
989.93,98.99,87.81,2,4
989.76,98.98,87.81,2,4
989.59,98.96,87.76,2,4
989.42,98.94,87.75,2,4
989.25,98.92,87.7,2,4
989.08,98.91,87.68,2,4
988.91,98.89,87.72,2,4
988.74,98.87,87.73,2,4
988.57,98.86,87.79,2,4
988.4,98.84,87.91,2,4
988.22,98.82,87.94,2,4
988.05,98.81,87.95,2,4
987.88,98.79,87.99,2,4
987.71,98.77,88.02,2,4
987.54,98.75,88.05,2,4
987.37,98.74,88.08,2,4
987.2,98.72,88.06,2,4
987.03,98.7,88.05,2,4
986.86,98.69,88.05,2,4
986.69,98.67,88.06,2,4
986.52,98.65,87.98,2,4
986.35,98.63,87.97,2,4
986.18,98.62,87.96,2,4
986.01,98.6,87.89,2,4
985.84,98.58,87.91,2,4
985.67,98.57,87.9,2,4
985.49,98.55,87.93,2,4
985.32,98.53,87.99,2,4
985.15,98.52,88.16,2,4
984.98,98.5,88.22,2,4
984.81,98.48,88.23,2,4
984.64,98.46,88.23,2,4
984.47,98.45,88.19,2,4
984.3,98.43,88.22,2,4
984.13,98.41,88.26,2,4
983.96,98.4,88.24,2.01,4.02
983.79,98.38,88.24,2.01,4.02
983.62,98.36,88.24,2.01,4.02
983.45,98.34,88.23,2.01,4.02
983.28,98.33,88.18,2.01,4.02
983.11,98.31,88.15,2.02,4.04
982.93,98.29,88.17,2.03,4.06
982.76,98.28,88.1,2.03,4.06
982.59,98.26,88.1,2.03,4.06
982.42,98.24,88.07,2.04,4.08
982.25,98.23,88.04,2.06,4.12
982.08,98.21,88.09,2.07,4.14
981.91,98.19,88.14,2.08,4.16
981.74,98.17,88.21,2.1,4.2
981.57,98.16,88.23,2.11,4.22
981.4,98.14,88.22,2.1,4.2
981.23,98.12,88.28,2.11,4.22
981.06,98.11,88.31,2.11,4.22
980.89,98.09,88.32,2.11,4.22
980.72,98.07,88.34,2.11,4.22
980.55,98.05,88.46,2.1,4.2
980.37,98.04,88.55,2.1,4.2
980.2,98.02,88.58,2.11,4.22
980.03,98,88.57,2.11,4.22
979.86,97.99,88.62,2.11,4.22
979.69,97.97,88.58,2.11,4.22
979.52,97.95,88.55,2.11,4.22
979.35,97.93,88.52,2.11,4.22
979.18,97.92,88.51,2.11,4.22
979.01,97.9,88.49,2.11,4.22
978.84,97.88,88.51,2.11,4.22
978.67,97.87,88.45,2.11,4.22
978.5,97.85,88.4,2.11,4.22
978.33,97.83,88.33,2.11,4.22
978.16,97.82,88.32,2.11,4.22
977.99,97.8,88.37,2.12,4.24
977.81,97.78,88.44,2.12,4.24
977.64,97.76,88.46,2.11,4.22
977.47,97.75,88.51,2.11,4.22
977.3,97.73,88.54,2.02,4.04
977.13,97.71,88.57,2.01,4.02
976.96,97.7,88.55,2.01,4.02
976.79,97.68,88.49,2.01,4.02
976.62,97.66,88.49,2.12,4.24
976.45,97.64,88.44,2.11,4.22
976.28,97.63,88.54,2.11,4.22
976.11,97.61,88.52,2.11,4.22
975.94,97.59,88.45,2.11,4.22
975.77,97.58,88.37,2.12,4.24
975.6,97.56,88.31,2.11,4.22
975.43,97.54,88.33,2.11,4.22
975.26,97.53,88.38,2.11,4.22
975.08,97.51,88.37,2.12,4.24
974.91,97.49,88.3,2.12,4.24
974.74,97.47,88.26,2.11,4.22
974.57,97.46,88.23,2.11,4.22
974.4,97.44,88.17,2.12,4.24
974.23,97.42,88.14,2.11,4.22
974.06,97.41,88.1,2.11,4.22
973.89,97.39,88.07,2.12,4.24
973.72,97.37,88.09,2.12,4.24
973.55,97.35,88.15,2.12,4.24
973.38,97.34,88.19,2.07,4.14
973.21,97.32,88.25,2.06,4.12
973.04,97.3,88.29,2.06,4.12
972.87,97.29,88.31,2.06,4.12
972.7,97.27,88.3,2.06,4.12
972.52,97.25,88.33,2.07,4.14
972.35,97.24,88.28,2.11,4.22
972.18,97.22,88.29,2.1,4.2
972.01,97.2,88.26,2.11,4.22
971.84,97.18,88.28,2.11,4.22
971.67,97.17,88.28,2.11,4.22
971.5,97.15,88.34,2.11,4.22
971.33,97.13,88.44,2.11,4.22
971.16,97.12,88.41,2.11,4.22
970.99,97.1,88.4,2.11,4.22
970.82,97.08,88.41,2.11,4.22
970.65,97.06,88.42,2.12,4.24
970.48,97.05,88.39,2.11,4.22
970.31,97.03,88.25,2.11,4.22
970.14,97.01,88.2,2.11,4.22
969.96,97,88.16,2.12,4.24
969.79,96.98,88.13,2.12,4.24
969.62,96.96,88.1,2.11,4.22
