capacity,soc,current,half_voltage,final_voltage
1200,100,43.17,1.95,3.9
1199.83,99.99,43.24,1.95,3.9
1199.66,99.97,43.13,1.95,3.9
1199.49,99.96,43.11,1.95,3.9
1199.32,99.94,43.14,1.95,3.9
1199.15,99.93,43.25,1.95,3.9
1198.98,99.91,43.24,1.94,3.88
1198.81,99.9,43.26,1.94,3.88
1198.63,99.89,43.26,1.94,3.88
1198.46,99.87,43.29,1.94,3.88
1198.29,99.86,43.3,1.94,3.88
1198.12,99.84,43.32,1.94,3.88
1197.95,99.83,43.28,1.94,3.88
1197.78,99.82,43.27,1.94,3.88
1197.61,99.8,43.26,1.94,3.88
1197.44,99.79,43.25,1.94,3.88
1197.27,99.77,43.2,1.94,3.88
1197.1,99.76,43.19,1.94,3.88
1196.93,99.74,43.16,1.94,3.88
1196.76,99.73,43.13,1.94,3.88
1196.59,99.72,43.12,1.94,3.88
1196.42,99.7,43.07,1.93,3.86
1196.25,99.69,43,1.93,3.86
1196.07,99.67,42.99,1.93,3.86
1195.9,99.66,42.97,1.92,3.84
1195.73,99.64,42.75,1.92,3.84
1195.56,99.63,42.72,1.92,3.84
1195.39,99.62,42.7,1.92,3.84
1195.22,99.6,42.75,1.92,3.84
1195.05,99.59,42.81,1.92,3.84
1194.88,99.57,42.79,1.92,3.84
1194.71,99.56,42.78,1.92,3.84
1194.54,99.54,42.69,1.92,3.84
1194.37,99.53,42.67,1.92,3.84
1194.2,99.52,42.65,1.92,3.84
1194.03,99.5,42.64,1.92,3.84
1193.86,99.49,42.63,1.92,3.84
1193.69,99.47,42.64,1.92,3.84
1193.52,99.46,42.63,1.92,3.84
1193.34,99.45,42.59,1.92,3.84
1193.17,99.43,42.59,1.91,3.82
1193,99.42,42.59,1.91,3.82
1192.83,99.4,42.56,1.91,3.82
1192.66,99.39,42.54,1.91,3.82
1192.49,99.37,42.5,1.91,3.82
1192.32,99.36,42.47,1.91,3.82
1192.15,99.35,42.48,1.91,3.82
1191.98,99.33,42.45,1.91,3.82
1191.81,99.32,42.43,1.91,3.82
1191.64,99.3,42.49,1.91,3.82
1191.47,99.29,42.45,1.91,3.82
1191.3,99.27,42.36,1.91,3.82
1191.13,99.26,42.5,1.91,3.82
1190.96,99.25,42.53,1.91,3.82
1190.78,99.23,42.52,1.91,3.82
1190.61,99.22,42.54,1.91,3.82
1190.44,99.2,42.55,1.91,3.82
1190.27,99.19,42.37,1.91,3.82
1190.1,99.18,42.51,1.91,3.82
1189.93,99.16,42.53,1.91,3.82
1189.76,99.15,42.51,1.91,3.82
1189.59,99.13,42.51,1.91,3.82
1189.42,99.12,42.53,1.91,3.82
1189.25,99.1,42.5,1.91,3.82
1189.08,99.09,42.56,1.91,3.82
1188.91,99.08,42.46,1.91,3.82
1188.74,99.06,42.47,1.9,3.8
1188.57,99.05,42.5,1.9,3.8
1188.4,99.03,42.48,1.9,3.8
1188.22,99.02,42.46,1.9,3.8
1188.05,99,42.46,1.9,3.8
1187.88,98.99,42.48,1.9,3.8
1187.71,98.98,42.47,1.9,3.8
1187.54,98.96,42.44,1.9,3.8
1187.37,98.95,42.43,1.9,3.8
1187.2,98.93,42.41,1.9,3.8
1187.03,98.92,42.4,1.9,3.8
1186.86,98.9,42.41,1.9,3.8
1186.69,98.89,42.39,1.9,3.8
1186.52,98.88,42.38,1.9,3.8
1186.35,98.86,42.38,1.9,3.8
1186.18,98.85,42.36,1.9,3.8
1186.01,98.83,42.35,1.9,3.8
1185.84,98.82,42.34,1.9,3.8
1185.67,98.81,42.34,1.9,3.8
1185.49,98.79,42.33,1.9,3.8
1185.32,98.78,42.34,1.9,3.8
1185.15,98.76,42.35,1.9,3.8
1184.98,98.75,42.32,1.9,3.8
1184.81,98.73,42.34,1.9,3.8
1184.64,98.72,42.31,1.9,3.8
1184.47,98.71,42.29,1.9,3.8
1184.3,98.69,42.29,1.9,3.8
1184.13,98.68,42.28,1.9,3.8
1183.96,98.66,42.26,1.9,3.8
1183.79,98.65,42.24,1.9,3.8
1183.62,98.63,42.24,1.89,3.78
1183.45,98.62,42.23,1.9,3.8
1183.28,98.61,42.23,1.89,3.78
1183.11,98.59,42.21,1.89,3.78
1182.93,98.58,42.2,1.89,3.78
1182.76,98.56,42.22,1.89,3.78
1182.59,98.55,42.21,1.89,3.78
1182.42,98.54,42.18,1.89,3.78
1182.25,98.52,42.21,1.89,3.78
1182.08,98.51,42.21,1.89,3.78
1181.91,98.49,42.17,1.89,3.78
1181.74,98.48,42.14,1.89,3.78
1181.57,98.46,42.12,1.89,3.78
1181.4,98.45,42.13,1.89,3.78
1181.23,98.44,42.09,1.89,3.78
1181.06,98.42,42.07,1.89,3.78
1180.89,98.41,42.07,1.89,3.78
1180.72,98.39,42.05,1.89,3.78
1180.55,98.38,42.03,1.89,3.78
1180.37,98.36,42.02,1.89,3.78
1180.2,98.35,42.01,1.89,3.78
1180.03,98.34,42.03,1.89,3.78
1179.86,98.32,42.02,1.89,3.78
1179.69,98.31,41.96,1.89,3.78
1179.52,98.29,41.95,1.89,3.78
1179.35,98.28,41.93,1.89,3.78
1179.18,98.27,41.92,1.89,3.78
1179.01,98.25,41.93,1.89,3.78
1178.84,98.24,41.89,1.89,3.78
1178.67,98.22,41.89,1.89,3.78
1178.5,98.21,41.89,1.89,3.78
1178.33,98.19,41.9,1.89,3.78
1178.16,98.18,41.92,1.89,3.78
1177.99,98.17,41.92,1.89,3.78
1177.81,98.15,41.89,1.89,3.78
