capacity,soc,current,half_voltage,final_voltage,timestamp_str,timestamp_num,currents,temperature
1100.0,100.0,49.36,2.18,4.36,2020-06-21T00:00:00,0,50mA,15C
1099.83,99.98,49.3,2.13,4.26,2020-06-21T00:00:30,30,50mA,15C
1099.66,99.97,48.97,2.12,4.24,2020-06-21T00:01:00,60,50mA,15C
1099.49,99.95,48.38,2.11,4.22,2020-06-21T00:01:30,90,50mA,15C
1099.32,99.94,48.06,2.11,4.22,2020-06-21T00:02:00,120,50mA,15C
1099.15,99.92,47.8,2.11,4.22,2020-06-21T00:02:30,150,50mA,15C
1098.98,99.91,47.45,2.11,4.22,2020-06-21T00:03:00,180,50mA,15C
1098.81,99.89,46.9,2.1,4.2,2020-06-21T00:03:30,210,50mA,15C
1098.63,99.88,49.0,2.1,4.2,2020-06-21T00:04:00,240,50mA,15C
1098.46,99.86,50.12,2.1,4.2,2020-06-21T00:04:30,270,50mA,15C
1098.29,99.84,50.12,2.1,4.2,2020-06-21T00:05:00,300,50mA,15C
1098.12,99.83,50.12,2.11,4.22,2020-06-21T00:05:30,330,50mA,15C
1097.95,99.81,50.09,2.11,4.22,2020-06-21T00:06:00,360,50mA,15C
1097.78,99.8,50.05,2.11,4.22,2020-06-21T00:06:30,390,50mA,15C
1097.61,99.78,50.04,2.1,4.2,2020-06-21T00:07:00,420,50mA,15C
1097.44,99.77,49.99,2.1,4.2,2020-06-21T00:07:30,450,50mA,15C
1097.27,99.75,49.96,2.1,4.2,2020-06-21T00:08:00,480,50mA,15C
1097.1,99.74,49.93,2.1,4.2,2020-06-21T00:08:30,510,50mA,15C
1096.93,99.72,49.91,2.1,4.2,2020-06-21T00:09:00,540,50mA,15C
1096.76,99.71,49.9,2.1,4.2,2020-06-21T00:09:30,570,50mA,15C
1096.59,99.69,49.88,2.1,4.2,2020-06-21T00:10:00,600,50mA,15C
1096.42,99.67,49.88,2.09,4.18,2020-06-21T00:10:30,630,50mA,15C
1096.25,99.66,49.91,2.09,4.18,2020-06-21T00:11:00,660,50mA,15C
1096.07,99.64,49.93,2.09,4.18,2020-06-21T00:11:30,690,50mA,15C
1095.9,99.63,49.95,2.09,4.18,2020-06-21T00:12:00,720,50mA,15C
