capacity,soc,current,half_voltage,final_voltage,timestamp_str,timestamp_num,currents,temperature
999.83,98.98,140402.2,2.0,4.0,2020-07-03T00:00:00,0,100mA,25C
999.66,98.97,107.97,2.02,4.04,2020-07-03T00:00:30,30,100mA,25C
999.49,98.95,107.58,2.02,4.04,2020-07-03T00:01:00,60,100mA,25C
999.32,98.93,108.13,2.02,4.04,2020-07-03T00:01:30,90,100mA,25C
999.15,98.91,108.15,2.02,4.04,2020-07-03T00:02:00,120,100mA,25C
998.98,98.9,108.06,2.02,4.04,2020-07-03T00:02:30,150,100mA,25C
998.81,98.88,108.04,2.02,4.04,2020-07-03T00:03:00,180,100mA,25C
998.63,98.86,108.2,2.02,4.04,2020-07-03T00:03:30,210,100mA,25C
998.46,98.85,108.38,2.02,4.04,2020-07-03T00:04:00,240,100mA,25C
998.29,98.83,108.53,2.02,4.04,2020-07-03T00:04:30,270,100mA,25C
998.12,98.81,108.51,2.02,4.04,2020-07-03T00:05:00,300,100mA,25C
997.95,98.8,108.41,2.02,4.04,2020-07-03T00:05:30,330,100mA,25C
997.78,98.78,108.29,2.02,4.04,2020-07-03T00:06:00,360,100mA,25C
997.61,98.76,108.33,2.02,4.04,2020-07-03T00:06:30,390,100mA,25C
997.44,98.74,108.26,2.02,4.04,2020-07-03T00:07:00,420,100mA,25C
997.27,98.73,108.1,2.02,4.04,2020-07-03T00:07:30,450,100mA,25C
997.1,98.71,108.0,2.02,4.04,2020-07-03T00:08:00,480,100mA,25C
996.93,98.69,107.95,2.02,4.04,2020-07-03T00:08:30,510,100mA,25C
996.76,98.68,107.96,2.02,4.04,2020-07-03T00:09:00,540,100mA,25C
996.59,98.66,107.98,2.02,4.04,2020-07-03T00:09:30,570,100mA,25C
996.42,98.64,108.03,2.02,4.04,2020-07-03T00:10:00,600,100mA,25C
996.25,98.62,107.99,2.02,4.04,2020-07-03T00:10:30,630,100mA,25C
996.07,98.61,107.9,2.02,4.04,2020-07-03T00:11:00,660,100mA,25C
995.9,98.59,107.93,2.02,4.04,2020-07-03T00:11:30,690,100mA,25C
995.73,98.57,107.76,2.02,4.04,2020-07-03T00:12:00,720,100mA,25C
995.56,98.56,107.47,2.02,4.04,2020-07-03T00:12:30,750,100mA,25C
995.39,98.54,107.23,2.02,4.04,2020-07-03T00:13:00,780,100mA,25C
995.22,98.52,106.89,2.02,4.04,2020-07-03T00:13:30,810,100mA,25C
995.05,98.51,107.72,2.01,4.02,2020-07-03T00:14:00,840,100mA,25C
994.88,98.49,108.36,1.99,3.98,2020-07-03T00:14:30,870,100mA,25C
994.71,98.47,107.4,2.0,4.0,2020-07-03T00:15:00,900,100mA,25C
994.54,98.45,107.77,1.99,3.98,2020-07-03T00:15:30,930,100mA,25C
994.37,98.44,107.69,1.99,3.98,2020-07-03T00:16:00,960,100mA,25C
994.2,98.42,107.57,1.99,3.98,2020-07-03T00:16:30,990,100mA,25C
994.03,98.4,107.66,1.99,3.98,2020-07-03T00:17:00,1020,100mA,25C
993.86,98.39,107.8,1.99,3.98,2020-07-03T00:17:30,1050,100mA,25C
993.69,98.37,107.56,1.99,3.98,2020-07-03T00:18:00,1080,100mA,25C
993.52,98.35,107.16,1.99,3.98,2020-07-03T00:18:30,1110,100mA,25C
993.34,98.33,107.02,1.99,3.98,2020-07-03T00:19:00,1140,100mA,25C
993.17,98.32,106.86,1.99,3.98,2020-07-03T00:19:30,1170,100mA,25C
993.0,98.3,106.5,1.98,3.96,2020-07-03T00:20:00,1200,100mA,25C
992.83,98.28,106.18,1.98,3.96,2020-07-03T00:20:30,1230,100mA,25C
992.66,98.27,106.15,1.98,3.96,2020-07-03T00:21:00,1260,100mA,25C
992.49,98.25,106.35,1.98,3.96,2020-07-03T00:21:30,1290,100mA,25C
992.32,98.23,106.19,1.98,3.96,2020-07-03T00:22:00,1320,100mA,25C
992.15,98.21,106.08,1.98,3.96,2020-07-03T00:22:30,1350,100mA,25C
991.98,98.2,106.25,1.98,3.96,2020-07-03T00:23:00,1380,100mA,25C
991.81,98.18,106.48,1.98,3.96,2020-07-03T00:23:30,1410,100mA,25C
991.64,98.16,106.79,1.98,3.96,2020-07-03T00:24:00,1440,100mA,25C
991.47,98.15,106.99,1.98,3.96,2020-07-03T00:24:30,1470,100mA,25C
991.3,98.13,106.96,1.98,3.96,2020-07-03T00:25:00,1500,100mA,25C
991.13,98.11,106.98,1.98,3.96,2020-07-03T00:25:30,1530,100mA,25C
990.96,98.1,106.94,1.98,3.96,2020-07-03T00:26:00,1560,100mA,25C
990.78,98.08,106.87,1.98,3.96,2020-07-03T00:26:30,1590,100mA,25C
990.61,98.06,106.86,1.98,3.96,2020-07-03T00:27:00,1620,100mA,25C
990.44,98.04,106.94,1.98,3.96,2020-07-03T00:27:30,1650,100mA,25C
990.27,98.03,106.94,1.98,3.96,2020-07-03T00:28:00,1680,100mA,25C
990.1,98.01,106.86,1.98,3.96,2020-07-03T00:28:30,1710,100mA,25C
989.93,97.99,107.02,1.98,3.96,2020-07-03T00:29:00,1740,100mA,25C
989.76,97.98,107.06,1.98,3.96,2020-07-03T00:29:30,1770,100mA,25C
989.59,97.96,107.0,1.98,3.96,2020-07-03T00:30:00,1800,100mA,25C
989.42,97.94,106.85,1.98,3.96,2020-07-03T00:30:30,1830,100mA,25C
989.25,97.92,106.8,1.98,3.96,2020-07-03T00:31:00,1860,100mA,25C
989.08,97.91,106.61,1.98,3.96,2020-07-03T00:31:30,1890,100mA,25C
988.91,97.89,106.01,1.98,3.96,2020-07-03T00:32:00,1920,100mA,25C
988.74,97.87,106.31,1.98,3.96,2020-07-03T00:32:30,1950,100mA,25C
988.57,97.86,106.48,1.98,3.96,2020-07-03T00:33:00,1980,100mA,25C
988.4,97.84,106.5,1.98,3.96,2020-07-03T00:33:30,2010,100mA,25C
988.22,97.82,106.39,1.98,3.96,2020-07-03T00:34:00,2040,100mA,25C
988.05,97.81,106.45,1.98,3.96,2020-07-03T00:34:30,2070,100mA,25C
987.88,97.79,106.65,1.97,3.94,2020-07-03T00:35:00,2100,100mA,25C
987.71,97.77,106.77,1.97,3.94,2020-07-03T00:35:30,2130,100mA,25C
987.54,97.75,106.89,1.97,3.94,2020-07-03T00:36:00,2160,100mA,25C
987.37,97.74,107.01,1.97,3.94,2020-07-03T00:36:30,2190,100mA,25C
987.2,97.72,107.11,1.97,3.94,2020-07-03T00:37:00,2220,100mA,25C
987.03,97.7,107.09,1.97,3.94,2020-07-03T00:37:30,2250,100mA,25C
986.86,97.69,107.06,1.97,3.94,2020-07-03T00:38:00,2280,100mA,25C
986.69,97.67,106.91,1.97,3.94,2020-07-03T00:38:30,2310,100mA,25C
986.52,97.65,106.67,1.97,3.94,2020-07-03T00:39:00,2340,100mA,25C
986.35,97.63,106.41,1.97,3.94,2020-07-03T00:39:30,2370,100mA,25C
986.18,97.62,106.75,1.97,3.94,2020-07-03T00:40:00,2400,100mA,25C
986.01,97.6,107.08,1.97,3.94,2020-07-03T00:40:30,2430,100mA,25C
985.84,97.58,107.21,1.97,3.94,2020-07-03T00:41:00,2460,100mA,25C
985.67,97.57,107.17,1.97,3.94,2020-07-03T00:41:30,2490,100mA,25C
985.49,97.55,107.66,1.97,3.94,2020-07-03T00:42:00,2520,100mA,25C
985.32,97.53,107.89,1.97,3.94,2020-07-03T00:42:30,2550,100mA,25C
985.15,97.52,108.1,1.97,3.94,2020-07-03T00:43:00,2580,100mA,25C
984.98,97.5,108.03,1.97,3.94,2020-07-03T00:43:30,2610,100mA,25C
984.81,97.48,107.95,1.97,3.94,2020-07-03T00:44:00,2640,100mA,25C
984.64,97.46,107.88,1.97,3.94,2020-07-03T00:44:30,2670,100mA,25C
984.47,97.45,107.73,1.97,3.94,2020-07-03T00:45:00,2700,100mA,25C
984.3,97.43,107.48,1.97,3.94,2020-07-03T00:45:30,2730,100mA,25C
984.13,97.41,107.39,1.97,3.94,2020-07-03T00:46:00,2760,100mA,25C
983.96,97.4,107.29,1.97,3.94,2020-07-03T00:46:30,2790,100mA,25C
983.79,97.38,107.08,1.97,3.94,2020-07-03T00:47:00,2820,100mA,25C
983.62,97.36,107.2,1.97,3.94,2020-07-03T00:47:30,2850,100mA,25C
983.45,97.34,106.97,1.97,3.94,2020-07-03T00:48:00,2880,100mA,25C
983.28,97.33,106.82,1.97,3.94,2020-07-03T00:48:30,2910,100mA,25C
983.11,97.31,106.57,1.97,3.94,2020-07-03T00:49:00,2940,100mA,25C
982.93,97.29,106.63,1.97,3.94,2020-07-03T00:49:30,2970,100mA,25C
982.76,97.28,106.29,1.97,3.94,2020-07-03T00:50:00,3000,100mA,25C
982.59,97.26,106.16,1.97,3.94,2020-07-03T00:50:30,3030,100mA,25C
982.42,97.24,106.29,1.97,3.94,2020-07-03T00:51:00,3060,100mA,25C
982.25,97.23,106.57,1.97,3.94,2020-07-03T00:51:30,3090,100mA,25C
982.08,97.21,106.46,1.97,3.94,2020-07-03T00:52:00,3120,100mA,25C
981.91,97.19,106.41,1.97,3.94,2020-07-03T00:52:30,3150,100mA,25C
981.74,97.17,106.49,1.97,3.94,2020-07-03T00:53:00,3180,100mA,25C
981.57,97.16,106.37,1.97,3.94,2020-07-03T00:53:30,3210,100mA,25C
981.4,97.14,106.32,1.97,3.94,2020-07-03T00:54:00,3240,100mA,25C
981.23,97.12,106.25,1.97,3.94,2020-07-03T00:54:30,3270,100mA,25C
981.06,97.11,106.34,1.97,3.94,2020-07-03T00:55:00,3300,100mA,25C
980.89,97.09,106.4,1.97,3.94,2020-07-03T00:55:30,3330,100mA,25C
980.72,97.07,106.5,1.97,3.94,2020-07-03T00:56:00,3360,100mA,25C
980.55,97.05,106.47,1.97,3.94,2020-07-03T00:56:30,3390,100mA,25C
980.37,97.04,106.45,1.97,3.94,2020-07-03T00:57:00,3420,100mA,25C
980.2,97.02,106.43,1.97,3.94,2020-07-03T00:57:30,3450,100mA,25C
980.03,97.0,106.41,1.97,3.94,2020-07-03T00:58:00,3480,100mA,25C
979.86,96.99,106.66,1.97,3.94,2020-07-03T00:58:30,3510,100mA,25C
979.69,96.97,106.41,1.97,3.94,2020-07-03T00:59:00,3540,100mA,25C
979.52,96.95,106.66,1.97,3.94,2020-07-03T00:59:30,3570,100mA,25C
979.35,96.93,106.88,1.97,3.94,2020-07-03T01:00:00,3600,100mA,25C
979.18,96.92,106.63,1.97,3.94,2020-07-03T01:00:30,3630,100mA,25C
979.01,96.9,106.42,1.97,3.94,2020-07-03T01:01:00,3660,100mA,25C
978.84,96.88,106.46,1.97,3.94,2020-07-03T01:01:30,3690,100mA,25C
978.67,96.87,106.48,1.97,3.94,2020-07-03T01:02:00,3720,100mA,25C
978.5,96.85,106.46,1.97,3.94,2020-07-03T01:02:30,3750,100mA,25C
978.33,96.83,106.49,1.97,3.94,2020-07-03T01:03:00,3780,100mA,25C
978.16,96.82,106.49,1.97,3.94,2020-07-03T01:03:30,3810,100mA,25C
977.99,96.8,106.51,1.97,3.94,2020-07-03T01:04:00,3840,100mA,25C
977.81,96.78,106.51,1.97,3.94,2020-07-03T01:04:30,3870,100mA,25C
977.64,96.76,106.48,1.97,3.94,2020-07-03T01:05:00,3900,100mA,25C
977.47,96.75,106.72,1.97,3.94,2020-07-03T01:05:30,3930,100mA,25C
977.3,96.73,106.49,1.97,3.94,2020-07-03T01:06:00,3960,100mA,25C
977.13,96.71,106.58,1.97,3.94,2020-07-03T01:06:30,3990,100mA,25C
976.96,96.7,106.54,1.97,3.94,2020-07-03T01:07:00,4020,100mA,25C
976.79,96.68,106.46,1.97,3.94,2020-07-03T01:07:30,4050,100mA,25C
976.62,96.66,106.48,1.96,3.92,2020-07-03T01:08:00,4080,100mA,25C
976.45,96.64,106.56,1.97,3.94,2020-07-03T01:08:30,4110,100mA,25C
976.28,96.63,106.54,1.97,3.94,2020-07-03T01:09:00,4140,100mA,25C
976.11,96.61,106.6,1.96,3.92,2020-07-03T01:09:30,4170,100mA,25C
975.94,96.59,106.63,1.96,3.92,2020-07-03T01:10:00,4200,100mA,25C
975.77,96.58,106.64,1.96,3.92,2020-07-03T01:10:30,4230,100mA,25C
975.6,96.56,106.63,1.96,3.92,2020-07-03T01:11:00,4260,100mA,25C
975.43,96.54,106.65,1.96,3.92,2020-07-03T01:11:30,4290,100mA,25C
975.26,96.53,106.73,1.96,3.92,2020-07-03T01:12:00,4320,100mA,25C
975.08,96.51,106.54,1.96,3.92,2020-07-03T01:12:30,4350,100mA,25C
974.91,96.49,106.57,1.96,3.92,2020-07-03T01:13:00,4380,100mA,25C
974.74,96.47,106.6,1.96,3.92,2020-07-03T01:13:30,4410,100mA,25C
974.57,96.46,106.6,1.96,3.92,2020-07-03T01:14:00,4440,100mA,25C
974.4,96.44,106.59,1.96,3.92,2020-07-03T01:14:30,4470,100mA,25C
974.23,96.42,106.64,1.96,3.92,2020-07-03T01:15:00,4500,100mA,25C
974.06,96.41,106.66,1.96,3.92,2020-07-03T01:15:30,4530,100mA,25C
973.89,96.39,106.68,1.96,3.92,2020-07-03T01:16:00,4560,100mA,25C
973.72,96.37,106.73,1.96,3.92,2020-07-03T01:16:30,4590,100mA,25C
973.55,96.35,106.68,1.96,3.92,2020-07-03T01:17:00,4620,100mA,25C
973.38,96.34,106.77,1.96,3.92,2020-07-03T01:17:30,4650,100mA,25C
973.21,96.32,106.93,1.96,3.92,2020-07-03T01:18:00,4680,100mA,25C
973.04,96.3,106.96,1.96,3.92,2020-07-03T01:18:30,4710,100mA,25C
972.87,96.29,106.92,1.96,3.92,2020-07-03T01:19:00,4740,100mA,25C
972.7,96.27,106.96,1.96,3.92,2020-07-03T01:19:30,4770,100mA,25C
972.52,96.25,106.96,1.96,3.92,2020-07-03T01:20:00,4800,100mA,25C
972.35,96.24,106.98,1.96,3.92,2020-07-03T01:20:30,4830,100mA,25C
972.18,96.22,106.99,1.96,3.92,2020-07-03T01:21:00,4860,100mA,25C
972.01,96.2,107.01,1.96,3.92,2020-07-03T01:21:30,4890,100mA,25C
971.84,96.18,107.02,1.96,3.92,2020-07-03T01:22:00,4920,100mA,25C
971.67,96.17,107.45,1.96,3.92,2020-07-03T01:22:30,4950,100mA,25C
971.5,96.15,107.48,1.96,3.92,2020-07-03T01:23:00,4980,100mA,25C
971.33,96.13,107.42,1.96,3.92,2020-07-03T01:23:30,5010,100mA,25C
971.16,96.12,107.41,1.96,3.92,2020-07-03T01:24:00,5040,100mA,25C
970.99,96.1,107.45,1.96,3.92,2020-07-03T01:24:30,5070,100mA,25C
970.82,96.08,107.43,1.96,3.92,2020-07-03T01:25:00,5100,100mA,25C
970.65,96.06,107.21,1.96,3.92,2020-07-03T01:25:30,5130,100mA,25C
970.48,96.05,107.13,1.96,3.92,2020-07-03T01:26:00,5160,100mA,25C
970.31,96.03,107.33,1.96,3.92,2020-07-03T01:26:30,5190,100mA,25C
970.14,96.01,107.06,1.96,3.92,2020-07-03T01:27:00,5220,100mA,25C
969.96,96.0,106.98,1.96,3.92,2020-07-03T01:27:30,5250,100mA,25C
969.79,95.98,107.16,1.96,3.92,2020-07-03T01:28:00,5280,100mA,25C
969.62,95.96,107.13,1.96,3.92,2020-07-03T01:28:30,5310,100mA,25C
969.45,95.95,107.0,1.96,3.92,2020-07-03T01:29:00,5340,100mA,25C
969.28,95.93,106.97,1.96,3.92,2020-07-03T01:29:30,5370,100mA,25C
969.11,95.91,106.94,1.96,3.92,2020-07-03T01:30:00,5400,100mA,25C
968.94,95.89,106.94,1.96,3.92,2020-07-03T01:30:30,5430,100mA,25C
968.77,95.88,106.95,1.96,3.92,2020-07-03T01:31:00,5460,100mA,25C
968.6,95.86,106.99,1.96,3.92,2020-07-03T01:31:30,5490,100mA,25C
968.43,95.84,106.8,1.96,3.92,2020-07-03T01:32:00,5520,100mA,25C
968.26,95.83,106.92,1.96,3.92,2020-07-03T01:32:30,5550,100mA,25C
968.09,95.81,106.81,1.96,3.92,2020-07-03T01:33:00,5580,100mA,25C
967.92,95.79,106.79,1.96,3.92,2020-07-03T01:33:30,5610,100mA,25C
967.75,95.77,106.85,1.96,3.92,2020-07-03T01:34:00,5640,100mA,25C
967.58,95.76,106.85,1.96,3.92,2020-07-03T01:34:30,5670,100mA,25C
967.41,95.74,106.83,1.96,3.92,2020-07-03T01:35:00,5700,100mA,25C
967.23,95.72,106.81,1.96,3.92,2020-07-03T01:35:30,5730,100mA,25C
967.06,95.71,106.88,1.96,3.92,2020-07-03T01:36:00,5760,100mA,25C
966.89,95.69,106.82,1.96,3.92,2020-07-03T01:36:30,5790,100mA,25C
966.72,95.67,106.82,1.96,3.92,2020-07-03T01:37:00,5820,100mA,25C
966.55,95.65,106.86,1.96,3.92,2020-07-03T01:37:30,5850,100mA,25C
966.38,95.64,106.89,1.96,3.92,2020-07-03T01:38:00,5880,100mA,25C
966.21,95.62,106.84,1.96,3.92,2020-07-03T01:38:30,5910,100mA,25C
966.04,95.6,106.83,1.96,3.92,2020-07-03T01:39:00,5940,100mA,25C
965.87,95.59,106.79,1.96,3.92,2020-07-03T01:39:30,5970,100mA,25C
965.7,95.57,106.76,1.96,3.92,2020-07-03T01:40:00,6000,100mA,25C
965.53,95.55,106.66,1.96,3.92,2020-07-03T01:40:30,6030,100mA,25C
965.36,95.54,106.71,1.96,3.92,2020-07-03T01:41:00,6060,100mA,25C
965.19,95.52,106.62,1.96,3.92,2020-07-03T01:41:30,6090,100mA,25C
965.02,95.5,106.6,1.96,3.92,2020-07-03T01:42:00,6120,100mA,25C
964.85,95.48,106.46,1.96,3.92,2020-07-03T01:42:30,6150,100mA,25C
964.67,95.47,106.5,1.96,3.92,2020-07-03T01:43:00,6180,100mA,25C
964.5,95.45,106.48,1.96,3.92,2020-07-03T01:43:30,6210,100mA,25C
964.33,95.43,106.47,1.96,3.92,2020-07-03T01:44:00,6240,100mA,25C
964.16,95.42,106.53,1.96,3.92,2020-07-03T01:44:30,6270,100mA,25C
963.99,95.4,106.59,1.96,3.92,2020-07-03T01:45:00,6300,100mA,25C
963.82,95.38,106.54,1.96,3.92,2020-07-03T01:45:30,6330,100mA,25C
963.65,95.36,106.41,1.96,3.92,2020-07-03T01:46:00,6360,100mA,25C
963.48,95.35,106.37,1.96,3.92,2020-07-03T01:46:30,6390,100mA,25C
963.31,95.33,106.33,1.96,3.92,2020-07-03T01:47:00,6420,100mA,25C
963.14,95.31,106.22,1.96,3.92,2020-07-03T01:47:30,6450,100mA,25C
962.97,95.3,106.08,1.96,3.92,2020-07-03T01:48:00,6480,100mA,25C
962.8,95.28,106.17,1.96,3.92,2020-07-03T01:48:30,6510,100mA,25C
962.63,95.26,106.12,1.96,3.92,2020-07-03T01:49:00,6540,100mA,25C
