capacity,soc,current,half_voltage,final_voltage,timestamp_str,timestamp_num,currents,temperature
1200.0,100.0,88.6,1.99,3.98,2020-07-31T00:00:00,0,100mA,15C
1199.83,99.99,88.53,1.99,3.98,2020-07-31T00:00:30,30,100mA,15C
1199.66,99.97,88.54,1.98,3.96,2020-07-31T00:01:00,60,100mA,15C
1199.49,99.96,88.49,1.98,3.96,2020-07-31T00:01:30,90,100mA,15C
1199.32,99.94,88.53,1.98,3.96,2020-07-31T00:02:00,120,100mA,15C
1199.15,99.93,88.61,1.98,3.96,2020-07-31T00:02:30,150,100mA,15C
1198.98,99.91,88.69,1.98,3.96,2020-07-31T00:03:00,180,100mA,15C
1198.81,99.9,88.68,1.98,3.96,2020-07-31T00:03:30,210,100mA,15C
1198.63,99.89,88.65,1.98,3.96,2020-07-31T00:04:00,240,100mA,15C
1198.46,99.87,88.63,1.98,3.96,2020-07-31T00:04:30,270,100mA,15C
1198.29,99.86,88.6,1.98,3.96,2020-07-31T00:05:00,300,100mA,15C
1198.12,99.84,88.61,1.98,3.96,2020-07-31T00:05:30,330,100mA,15C
1197.95,99.83,88.6,1.98,3.96,2020-07-31T00:06:00,360,100mA,15C
1197.78,99.82,88.64,1.98,3.96,2020-07-31T00:06:30,390,100mA,15C
1197.61,99.8,88.68,1.98,3.96,2020-07-31T00:07:00,420,100mA,15C
1197.44,99.79,88.65,1.98,3.96,2020-07-31T00:07:30,450,100mA,15C
1197.27,99.77,88.67,1.97,3.94,2020-07-31T00:08:00,480,100mA,15C
1197.1,99.76,88.7,1.97,3.94,2020-07-31T00:08:30,510,100mA,15C
1196.93,99.74,88.71,1.97,3.94,2020-07-31T00:09:00,540,100mA,15C
1196.76,99.73,88.66,1.97,3.94,2020-07-31T00:09:30,570,100mA,15C
1196.59,99.72,88.66,1.97,3.94,2020-07-31T00:10:00,600,100mA,15C
1196.42,99.7,88.65,1.97,3.94,2020-07-31T00:10:30,630,100mA,15C
1196.25,99.69,88.65,1.97,3.94,2020-07-31T00:11:00,660,100mA,15C
1196.07,99.67,88.71,1.97,3.94,2020-07-31T00:11:30,690,100mA,15C
1195.9,99.66,88.72,1.97,3.94,2020-07-31T00:12:00,720,100mA,15C
1195.73,99.64,88.73,1.97,3.94,2020-07-31T00:12:30,750,100mA,15C
1195.56,99.63,88.71,1.97,3.94,2020-07-31T00:13:00,780,100mA,15C
1195.39,99.62,88.75,1.97,3.94,2020-07-31T00:13:30,810,100mA,15C
1195.22,99.6,88.73,1.97,3.94,2020-07-31T00:14:00,840,100mA,15C
1195.05,99.59,88.74,1.97,3.94,2020-07-31T00:14:30,870,100mA,15C
1194.88,99.57,88.74,1.96,3.92,2020-07-31T00:15:00,900,100mA,15C
1194.71,99.56,88.76,1.97,3.94,2020-07-31T00:15:30,930,100mA,15C
1194.54,99.54,88.75,1.96,3.92,2020-07-31T00:16:00,960,100mA,15C
1194.37,99.53,88.75,1.97,3.94,2020-07-31T00:16:30,990,100mA,15C
1194.2,99.52,88.73,1.96,3.92,2020-07-31T00:17:00,1020,100mA,15C
1194.03,99.5,88.67,1.96,3.92,2020-07-31T00:17:30,1050,100mA,15C
1193.86,99.49,88.7,1.96,3.92,2020-07-31T00:18:00,1080,100mA,15C
1193.69,99.47,88.67,1.96,3.92,2020-07-31T00:18:30,1110,100mA,15C
1193.52,99.46,88.67,1.96,3.92,2020-07-31T00:19:00,1140,100mA,15C
1193.34,99.45,88.63,1.96,3.92,2020-07-31T00:19:30,1170,100mA,15C
1193.17,99.43,88.58,1.96,3.92,2020-07-31T00:20:00,1200,100mA,15C
1193.0,99.42,88.57,1.96,3.92,2020-07-31T00:20:30,1230,100mA,15C
1192.83,99.4,88.57,1.96,3.92,2020-07-31T00:21:00,1260,100mA,15C
1192.66,99.39,88.58,1.96,3.92,2020-07-31T00:21:30,1290,100mA,15C
1192.49,99.37,88.55,1.96,3.92,2020-07-31T00:22:00,1320,100mA,15C
1192.32,99.36,88.53,1.96,3.92,2020-07-31T00:22:30,1350,100mA,15C
1192.15,99.35,88.48,1.96,3.92,2020-07-31T00:23:00,1380,100mA,15C
1191.98,99.33,88.48,1.96,3.92,2020-07-31T00:23:30,1410,100mA,15C
1191.81,99.32,88.46,1.96,3.92,2020-07-31T00:24:00,1440,100mA,15C
1191.64,99.3,88.44,1.96,3.92,2020-07-31T00:24:30,1470,100mA,15C
1191.47,99.29,88.42,1.96,3.92,2020-07-31T00:25:00,1500,100mA,15C
1191.3,99.27,88.39,1.96,3.92,2020-07-31T00:25:30,1530,100mA,15C
1191.13,99.26,88.37,1.95,3.9,2020-07-31T00:26:00,1560,100mA,15C
1190.96,99.25,88.35,1.96,3.92,2020-07-31T00:26:30,1590,100mA,15C
1190.78,99.23,88.33,1.96,3.92,2020-07-31T00:27:00,1620,100mA,15C
1190.61,99.22,88.32,1.95,3.9,2020-07-31T00:27:30,1650,100mA,15C
1190.44,99.2,88.28,1.96,3.92,2020-07-31T00:28:00,1680,100mA,15C
1190.27,99.19,88.28,1.95,3.9,2020-07-31T00:28:30,1710,100mA,15C
1190.1,99.18,88.26,1.95,3.9,2020-07-31T00:29:00,1740,100mA,15C
1189.93,99.16,88.27,1.95,3.9,2020-07-31T00:29:30,1770,100mA,15C
1189.76,99.15,88.22,1.95,3.9,2020-07-31T00:30:00,1800,100mA,15C
1189.59,99.13,88.19,1.95,3.9,2020-07-31T00:30:30,1830,100mA,15C
1189.42,99.12,88.19,1.95,3.9,2020-07-31T00:31:00,1860,100mA,15C
1189.25,99.1,88.18,1.95,3.9,2020-07-31T00:31:30,1890,100mA,15C
1189.08,99.09,88.16,1.95,3.9,2020-07-31T00:32:00,1920,100mA,15C
1188.91,99.08,88.16,1.95,3.9,2020-07-31T00:32:30,1950,100mA,15C
1188.74,99.06,88.13,1.95,3.9,2020-07-31T00:33:00,1980,100mA,15C
1188.57,99.05,88.11,1.95,3.9,2020-07-31T00:33:30,2010,100mA,15C
1188.4,99.03,88.11,1.95,3.9,2020-07-31T00:34:00,2040,100mA,15C
1188.22,99.02,88.1,1.95,3.9,2020-07-31T00:34:30,2070,100mA,15C
1188.05,99.0,88.07,1.95,3.9,2020-07-31T00:35:00,2100,100mA,15C
1187.88,98.99,88.06,1.95,3.9,2020-07-31T00:35:30,2130,100mA,15C
1187.71,98.98,88.02,1.95,3.9,2020-07-31T00:36:00,2160,100mA,15C
1187.54,98.96,88.03,1.95,3.9,2020-07-31T00:36:30,2190,100mA,15C
1187.37,98.95,87.99,1.95,3.9,2020-07-31T00:37:00,2220,100mA,15C
1187.2,98.93,87.97,1.95,3.9,2020-07-31T00:37:30,2250,100mA,15C
1187.03,98.92,87.97,1.95,3.9,2020-07-31T00:38:00,2280,100mA,15C
1186.86,98.9,87.95,1.95,3.9,2020-07-31T00:38:30,2310,100mA,15C
1186.69,98.89,87.95,1.95,3.9,2020-07-31T00:39:00,2340,100mA,15C
1186.52,98.88,87.94,1.95,3.9,2020-07-31T00:39:30,2370,100mA,15C
1186.35,98.86,87.9,1.95,3.9,2020-07-31T00:40:00,2400,100mA,15C
1186.18,98.85,87.9,1.95,3.9,2020-07-31T00:40:30,2430,100mA,15C
1186.01,98.83,87.86,1.95,3.9,2020-07-31T00:41:00,2460,100mA,15C
1185.84,98.82,87.86,1.95,3.9,2020-07-31T00:41:30,2490,100mA,15C
1185.67,98.81,87.82,1.94,3.88,2020-07-31T00:42:00,2520,100mA,15C
1185.49,98.79,87.83,1.94,3.88,2020-07-31T00:42:30,2550,100mA,15C
1185.32,98.78,87.81,1.94,3.88,2020-07-31T00:43:00,2580,100mA,15C
1185.15,98.76,87.77,1.94,3.88,2020-07-31T00:43:30,2610,100mA,15C
1184.98,98.75,87.77,1.94,3.88,2020-07-31T00:44:00,2640,100mA,15C
1184.81,98.73,87.72,1.94,3.88,2020-07-31T00:44:30,2670,100mA,15C
1184.64,98.72,87.73,1.94,3.88,2020-07-31T00:45:00,2700,100mA,15C
1184.47,98.71,87.69,1.94,3.88,2020-07-31T00:45:30,2730,100mA,15C
1184.3,98.69,87.68,1.94,3.88,2020-07-31T00:46:00,2760,100mA,15C
1184.13,98.68,87.68,1.94,3.88,2020-07-31T00:46:30,2790,100mA,15C
1183.96,98.66,87.69,1.94,3.88,2020-07-31T00:47:00,2820,100mA,15C
1183.79,98.65,87.62,1.94,3.88,2020-07-31T00:47:30,2850,100mA,15C
1183.62,98.63,87.64,1.94,3.88,2020-07-31T00:48:00,2880,100mA,15C
1183.45,98.62,87.59,1.94,3.88,2020-07-31T00:48:30,2910,100mA,15C
1183.28,98.61,87.59,1.94,3.88,2020-07-31T00:49:00,2940,100mA,15C
1183.11,98.59,87.54,1.94,3.88,2020-07-31T00:49:30,2970,100mA,15C
1182.93,98.58,87.55,1.94,3.88,2020-07-31T00:50:00,3000,100mA,15C
1182.76,98.56,87.54,1.94,3.88,2020-07-31T00:50:30,3030,100mA,15C
1182.59,98.55,87.56,1.94,3.88,2020-07-31T00:51:00,3060,100mA,15C
1182.42,98.54,87.52,1.94,3.88,2020-07-31T00:51:30,3090,100mA,15C
1182.25,98.52,87.52,1.93,3.86,2020-07-31T00:52:00,3120,100mA,15C
1182.08,98.51,87.49,1.94,3.88,2020-07-31T00:52:30,3150,100mA,15C
