capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
659.03,65.9,28.49,3.32,2020-07-19T16:39:00,59940,30mA,5C,0.35844994617868675,0.4655172413793103,0.6406113306982872,0.6405986509274874,0.0007017754177710066
657.5,65.75,28.49,3.34,2020-07-19T16:43:30,60210,30mA,5C,0.36006458557588805,0.4741379310344829,0.6389986824769434,0.6390177065767285,0.0007017754177710066
657.16,65.71,28.49,3.36,2020-07-19T16:44:30,60270,30mA,5C,0.36042339433082166,0.48275862068965525,0.6386403162055335,0.6385961214165261,0.0007017754177710066
656.98,65.7,28.49,3.38,2020-07-19T16:45:00,60300,30mA,5C,0.3606027987082885,0.4913793103448276,0.6384505928853755,0.6384907251264755,0.0007017754177710066
655.96,65.59,28.49,3.36,2020-07-19T16:48:00,60480,30mA,5C,0.36167922497308935,0.48275862068965525,0.6373754940711462,0.6373313659359191,0.0007017754177710066
655.79,65.58,28.49,3.38,2020-07-19T16:48:30,60510,30mA,5C,0.3618586293505562,0.4913793103448276,0.6371963109354414,0.6372259696458684,0.0007017754177710066
655.62,65.56,28.49,3.38,2020-07-19T16:49:00,60540,30mA,5C,0.36203803372802296,0.4913793103448276,0.6370171277997365,0.6370151770657673,0.0007017754177710066
655.45,65.54,28.49,3.38,2020-07-19T16:49:30,60570,30mA,5C,0.3622174381054898,0.4913793103448276,0.6368379446640317,0.6368043844856661,0.0007017754177710066
655.11,65.51,28.49,3.38,2020-07-19T16:50:30,60630,30mA,5C,0.3625762468604234,0.4913793103448276,0.6364795783926219,0.6364881956155144,0.0007017754177710066
654.25,65.42,28.49,3.38,2020-07-19T16:53:00,60780,30mA,5C,0.3634732687477574,0.4913793103448276,0.6355731225296443,0.635539629005059,0.0007017754177710066
654.08,65.41,28.49,3.36,2020-07-19T16:53:30,60810,30mA,5C,0.36365267312522426,0.48275862068965525,0.6353939393939394,0.6354342327150084,0.0007017754177710066
653.74,65.37,28.49,3.36,2020-07-19T16:54:30,60870,30mA,5C,0.36401148188015786,0.48275862068965525,0.6350355731225297,0.6350126475548061,0.0007017754177710066
653.4,65.34,28.49,3.38,2020-07-19T16:55:30,60930,30mA,5C,0.3643702906350915,0.4913793103448276,0.6346772068511198,0.6346964586846543,0.0007017754177710066
653.23,65.32,28.49,3.36,2020-07-19T16:56:00,60960,30mA,5C,0.3645496950125583,0.48275862068965525,0.6344980237154151,0.634485666104553,0.0007017754177710066
652.04,65.2,28.49,3.34,2020-07-19T16:59:30,61170,30mA,5C,0.365805525654826,0.4741379310344829,0.6332437417654808,0.633220910623946,0.0007017754177710066
