,capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature
count,80800.0,80800.0,80800.0,80800.0,80800,80800.0,80800,80800
unique,,,,,78096,,3,5
top,,,,,2020-06-15T01:34:30,,30mA,25C
freq,,,,,2,,28113,19946
mean,635.2547277846621,57.41048948019803,62.501189232673276,3.7761982673267327,,82959.11806930693,,
std,273.8387497619597,25.38469483985625,556.0329361014371,0.2628118151280229,,50125.5234201026,,
min,27.53,-6.43,-7372.56,2.44,,0.0,,
25%,410.37,36.65,34.37,3.66,,40380.0,,
50%,640.43,58.21,46.48,3.8,,80790.0,,
75%,870.3,79.11,73.48,3.96,,122490.0,,
max,1100.0,100.0,51786.92,4.48,,205770.0,,
total_records,80800.0,80800.0,80800.0,80800.0,80800,80800.0,80800,80800
