,capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature
count,74402.0,74402.0,74402.0,74402.0,74402,74402.0,74402,74402
unique,,,,,74402,,3,5
top,,,,,2020-07-30T13:04:30,,30mA,25C
freq,,,,,1,,25159,16590
mean,574.5744998790354,57.38044609015887,56.0049901884358,3.646531327518077,,74790.31491088949,,
std,248.35466254910426,24.851734477716242,554.5423686810452,0.35127374553618035,,43657.823531069145,,
min,51.25,5.12,-70.09,2.24,,0.0,,
25%,365.14,36.442499999999995,33.57,3.46,,37200.0,,
50%,576.78,57.61,44.42,3.7,,74400.0,,
75%,788.39,78.7775,77.4375,3.88,,111600.0,,
max,1000.0,100.0,140402.2,4.56,,167220.0,,
total_records,74402.0,74402.0,74402.0,74402.0,74402,74402.0,74402,74402
