,capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature
count,77508.0,77508.0,77508.0,77508.0,77508,77508.0,77508,77508
unique,,,,,77508,,3,5
top,,,,,2020-08-29T16:11:30,,50mA,45C
freq,,,,,1,,26013,16736
mean,756.7774348454353,63.06257663725035,53.53266385405378,3.4912863188316043,,77911.71853228055,,
std,258.6395322546054,21.555693332423274,24.066191871520665,0.2266799268967272,,45467.130373417014,,
min,236.61,19.71,18.0,2.3,,0.0,,
25%,538.71,44.89,30.7,3.36,,38730.0,,
50%,759.2,63.27,46.34,3.5,,77490.0,,
75%,979.69,81.64,76.04,3.64,,116250.0,,
max,1200.0,100.0,141.23,4.24,,169440.0,,
total_records,77508.0,77508.0,77508.0,77508.0,77508,77508.0,77508,77508
